"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.616873100E-2,1.457877159E-1,-1.377277374E-1,4.663720131E-1
2.616873100E-2,1.130743027E-1,-1.394481659E-1,4.408102036E-1
3.616673100E-2,7.924699783E-2,-1.401591301E-1,4.140043259E-1
4.616573100E-2,4.464912415E-2,-1.402363777E-1,3.864870071E-1
5.617539700E-2,-2.489757538E-2,-1.069598198E-1,3.128185272E-1
6.618264700E-2,-9.876251221E-2,-8.921766281E-2,2.462072372E-1
7.618824700E-2,-1.739025116E-1,-8.795499802E-2,1.892499924E-1
8.619258000E-2,-2.491574287E-1,-1.001529694E-1,1.409149170E-1
9.619743700E-2,-3.260979652E-1,-1.205463409E-1,9.704589844E-2
1.062018120E-1,-4.109749794E-1,-1.428508759E-1,4.985857010E-2
1.162057000E-1,-4.855809212E-1,-1.621932983E-1,9.341239929E-3
1.262089000E-1,-5.525479317E-1,-1.806983948E-1,-2.551651001E-2
1.362229900E-1,-6.155376434E-1,-1.992321014E-1,-5.693387985E-2
1.462364060E-1,-6.784114838E-1,-2.175507545E-1,-8.768939972E-2
1.562486360E-1,-7.412009239E-1,-2.356209755E-1,-1.178283691E-1
1.662597070E-1,-8.039131165E-1,-2.534246445E-1,-1.473846436E-1
1.762703070E-1,-8.665637970E-1,-2.709693909E-1,-1.763663292E-1
1.862798070E-1,-9.291539192E-1,-2.882218361E-1,-2.048039436E-1
1.962882770E-1,-9.910674095E-1,-2.821073532E-1,-2.451348305E-1
2.062957210E-1,-1.051345825E0,-2.750864029E-1,-2.842984200E-1
2.163039310E-1,-1.104424477E0,-2.707872391E-1,-3.171949387E-1
2.263114310E-1,-1.156202316E0,-2.692904472E-1,-3.473343849E-1
2.363183350E-1,-1.207055569E0,-2.680444717E-1,-3.763585091E-1
2.463245620E-1,8.142061234E-1,-1.582243204E0,2.094317436E0
2.563308660E-1,1.285394192E0,-1.537586927E0,1.758134365E0
2.663366990E-1,1.213999748E0,-1.271712780E0,1.903510571E0
2.763421390E-1,1.831677198E0,-8.027906418E-1,1.572768688E0
2.863471000E-1,2.204392910E0,-5.334460735E-1,1.255795956E0
2.963529140E-1,2.152471542E0,-4.900515079E-1,1.207247257E0
3.063585560E-1,2.155227661E0,-1.866354942E-1,1.070048332E0
3.163639000E-1,1.911441326E0,-3.677651882E-1,1.291905403E0
3.263688330E-1,1.783611536E0,-7.358760834E-1,1.953530312E0
3.363739660E-1,1.649533987E0,-1.016747713E0,2.838362694E0
3.463788990E-1,1.411374807E0,-1.370348930E0,3.913310051E0
3.563826990E-1,1.388304234E0,-1.612500429E0,4.607921600E0
3.663864650E-1,1.786552072E0,-1.739339590E0,4.830134392E0
3.763911980E-1,2.147851944E0,-1.726331472E0,4.560937881E0
3.863959640E-1,2.407105923E0,-1.716144681E0,4.058738708E0
3.964003970E-1,2.469273329E0,-1.952636003E0,3.096975327E0
4.064046630E-1,2.544856548E0,-2.020872593E0,2.204807281E0
4.164092290E-1,2.312423706E0,-1.987342119E0,1.399809837E0
4.264138620E-1,2.237993240E0,-1.859377861E0,4.512176514E-1
4.364143950E-1,1.950129509E0,-1.657846212E0,-1.811170578E-1
4.464147610E-1,2.065758705E0,-1.625797153E0,-8.085203171E-1
4.564165270E-1,2.060083389E0,-1.582286716E0,-8.686084747E-1
4.664185270E-1,2.135927677E0,-1.395982981E0,-5.661563873E-1
4.764203930E-1,2.482573748E0,-1.184198618E0,-1.558904648E-1
4.864224260E-1,2.728526831E0,-1.100136876E0,4.066686630E-1
4.964248920E-1,2.954884768E0,-1.006457210E0,8.374147415E-1
5.064277580E-1,2.846196413E0,-9.942034483E-1,8.019247055E-1
5.164299580E-1,2.823315859E0,-9.421453476E-1,1.223837852E0
5.264322580E-1,2.717580795E0,-8.836786747E-1,7.785730362E-1
5.364355910E-1,2.896205425E0,-6.501929760E-1,-8.242893219E-2
5.464391570E-1,3.090825081E0,-4.762781858E-1,-8.264150620E-1
5.564425230E-1,3.104527235E0,-3.334169388E-1,-1.378971577E0
5.664460560E-1,2.875129223E0,-1.675794125E-1,-1.498149395E0
5.764502220E-1,2.319715977E0,-4.641962051E-2,-1.459516525E0
5.864546550E-1,1.957998276E0,4.990053177E-2,-1.282309532E0
5.964582210E-1,1.683518171E0,-3.694438934E-2,-9.738893509E-1
6.064617870E-1,1.569084525E0,-2.432672977E-1,-6.008148193E-1
6.164664530E-1,1.628267646E0,-4.208409786E-1,-4.948368073E-1
6.264714530E-1,1.670481801E0,-5.496393442E-1,-5.565500259E-1
6.364762190E-1,1.696353078E0,-6.489543915E-1,-8.527812958E-1
6.464811850E-1,1.626270533E0,-7.522646189E-1,-1.182455063E0
6.564866180E-1,1.711283445E0,-6.906410456E-1,-1.422616005E0
6.664920510E-1,1.464412928E0,-4.720026255E-1,-1.186034203E0
6.764965170E-1,1.497467279E0,-4.324802160E-1,-1.185228348E0
