"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.957389531E0,6.498472027E1,2.551924434E1,-3.476546846E0,8.100000024E-1,0.000000000E0,1.850000000E1,2.300000000E1
2.911513711E0,6.498443680E1,2.551999946E1,3.052309220E1,1.159999967E0,0.000000000E0,6.500000000E0,1.200000000E1
3.912157383E0,6.498444887E1,2.552000483E1,2.752310266E1,1.379999995E0,0.000000000E0,6.500000000E0,1.100000000E1
4.901019609E0,6.498444024E1,2.551992528E1,1.952310510E1,1.289999962E0,0.000000000E0,6.500000000E0,1.000000000E1
5.913302109E0,6.498443244E1,2.551995537E1,1.952309395E1,1.220000029E0,1.291000061E2,6.000000000E0,1.000000000E1
6.911183047E0,6.498442850E1,2.551996912E1,2.052308851E1,2.999999821E-1,1.398999939E2,5.500000000E0,9.000000000E0
7.917759453E0,6.498442661E1,2.551998789E1,1.952308430E1,4.599999785E-1,1.506000061E2,4.500000000E0,8.000000000E0
8.929745352E0,6.498442695E1,2.551999980E1,1.952308305E1,9.399999976E-1,1.149000015E2,4.500000000E0,7.000000000E0
9.926193633E0,6.498441098E1,2.552003659E1,1.852306347E1,1.000000000E0,1.048000031E2,4.000000000E0,7.000000000E0
1.091930957E1,6.498441086E1,2.552008051E1,1.652305760E1,6.800000072E-1,1.136999969E2,4.000000000E0,7.000000000E0
1.192217066E1,6.498441622E1,2.552008613E1,1.552306182E1,7.599999905E-1,1.066999969E2,3.500000000E0,6.000000000E0
1.292575516E1,6.498441538E1,2.552010239E1,1.552305892E1,6.299999952E-1,1.048000031E2,3.500000000E0,6.000000000E0
1.391922871E1,6.498441639E1,2.552013583E1,1.352305546E1,8.199999928E-1,1.084000015E2,3.000000000E0,6.000000000E0
1.492239211E1,6.498441010E1,2.552015830E1,1.252304671E1,5.699999928E-1,1.066999969E2,3.500000000E0,6.000000000E0
